epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,20.0046,2.8856,5.39919,0.9981,0.02305,0.49562,0.03036,0.01954,1.28484,3.54194,0.89973,9.45707e-05,9.45707e-05,9.45707e-05
2,38.5266,2.21739,3.77136,0.81732,0.07355,0.32597,0.06265,0.04138,1.08502,2.74426,0.87822,0.000188024,0.000188024,0.000188024
3,56.2417,2.02133,3.24439,0.8035,0.09763,0.32035,0.08368,0.06046,0.99114,2.50513,0.86767,0.00027959,0.00027959,0.00027959
4,73.3544,1.86037,3.00199,0.7961,0.12887,0.25605,0.12926,0.09307,0.91123,2.34954,0.85956,0.000277506,0.000277506,0.000277506
5,90.7791,1.80954,2.88168,0.7911,0.16799,0.2792,0.18978,0.13901,0.90526,2.20354,0.84611,0.000274674,0.000274674,0.000274674
6,107.628,1.74202,2.74848,0.78615,0.2123,0.35911,0.24456,0.18107,0.90743,1.98159,0.85384,0.000271843,0.000271843,0.000271843
7,124.269,1.67809,2.60277,0.7837,0.282,0.46353,0.34039,0.26398,0.75482,1.75997,0.82787,0.000269012,0.000269012,0.000269012
8,141.775,1.64406,2.51778,0.77972,0.36088,0.48469,0.40501,0.30621,0.84657,1.62205,0.8385,0.00026618,0.00026618,0.00026618
9,158.593,1.59714,2.40648,0.78103,0.42037,0.52046,0.46514,0.3601,0.78788,1.5171,0.83637,0.000263349,0.000263349,0.000263349
10,175.665,1.5775,2.3424,0.7781,0.44965,0.53256,0.49704,0.38747,0.767,1.42601,0.82658,0.000260517,0.000260517,0.000260517
11,192.773,1.55793,2.27778,0.77726,0.51406,0.55245,0.55735,0.43994,0.76741,1.30333,0.83379,0.000257686,0.000257686,0.000257686
12,209.549,1.55449,2.21671,0.77703,0.52147,0.58257,0.59644,0.46164,0.7932,1.24424,0.83654,0.000254855,0.000254855,0.000254855
13,226.719,1.48825,2.14811,0.77284,0.56027,0.61008,0.62382,0.49001,0.75491,1.18861,0.82446,0.000252023,0.000252023,0.000252023
14,243.39,1.47252,2.10841,0.77569,0.5966,0.61562,0.64504,0.50895,0.76648,1.11913,0.83467,0.000249192,0.000249192,0.000249192
15,260.488,1.48169,2.09091,0.77075,0.60995,0.63438,0.6646,0.52478,0.75172,1.10708,0.8288,0.00024636,0.00024636,0.00024636
16,277.637,1.44882,2.04114,0.77058,0.63385,0.64342,0.68874,0.55042,0.70978,1.05655,0.8201,0.000243529,0.000243529,0.000243529
17,294.567,1.42184,1.99417,0.77002,0.67052,0.63919,0.71696,0.57932,0.69709,0.99678,0.82149,0.000240698,0.000240698,0.000240698
18,311.78,1.40518,1.95728,0.77179,0.70833,0.66101,0.74774,0.6013,0.68366,0.94871,0.81877,0.000237866,0.000237866,0.000237866
19,328.985,1.40473,1.93412,0.76889,0.72255,0.6471,0.74954,0.61226,0.65795,0.92072,0.81093,0.000235035,0.000235035,0.000235035
20,345.969,1.40457,1.92368,0.76645,0.72935,0.68824,0.76926,0.62253,0.64962,0.89846,0.80882,0.000232203,0.000232203,0.000232203
21,362.961,1.3715,1.85555,0.76967,0.77903,0.65206,0.78333,0.63573,0.69042,0.86043,0.82487,0.000229372,0.000229372,0.000229372
22,379.945,1.3993,1.89546,0.7648,0.73688,0.72325,0.80163,0.65493,0.65528,0.82052,0.81532,0.000226541,0.000226541,0.000226541
23,396.69,1.36007,1.84259,0.76723,0.75316,0.69067,0.79791,0.65545,0.63436,0.82392,0.80719,0.000223709,0.000223709,0.000223709
24,413.714,1.3452,1.81449,0.76652,0.80288,0.70498,0.83029,0.68095,0.65652,0.76905,0.81107,0.000220878,0.000220878,0.000220878
25,430.888,1.34849,1.80935,0.7663,0.81326,0.68751,0.83008,0.68349,0.66252,0.78262,0.81682,0.000218046,0.000218046,0.000218046
26,448.229,1.33659,1.76821,0.76727,0.81488,0.74169,0.85652,0.69076,0.69604,0.73777,0.81746,0.000215215,0.000215215,0.000215215
27,465.291,1.30859,1.71965,0.76712,0.81351,0.75036,0.86038,0.71947,0.60316,0.70461,0.81158,0.000212384,0.000212384,0.000212384
28,482.929,1.29315,1.71415,0.76722,0.85151,0.72858,0.86924,0.71613,0.64133,0.69801,0.81082,0.000209552,0.000209552,0.000209552
29,500.205,1.29764,1.71172,0.76327,0.8542,0.74627,0.87454,0.73177,0.59161,0.67494,0.80116,0.000206721,0.000206721,0.000206721
30,517.091,1.29449,1.69876,0.76468,0.80622,0.77489,0.87503,0.72787,0.61013,0.67114,0.80513,0.000203889,0.000203889,0.000203889
31,534.479,1.26015,1.65164,0.76788,0.86464,0.77252,0.8909,0.74617,0.57917,0.635,0.80123,0.000201058,0.000201058,0.000201058
32,551.504,1.28063,1.68426,0.76438,0.84124,0.78872,0.89576,0.74324,0.63738,0.63168,0.81634,0.000198227,0.000198227,0.000198227
33,568.259,1.27425,1.65663,0.76398,0.85937,0.77709,0.89342,0.74763,0.61374,0.63582,0.80635,0.000195395,0.000195395,0.000195395
34,585.727,1.25693,1.63683,0.76476,0.85887,0.77561,0.89645,0.75186,0.58366,0.61751,0.80101,0.000192564,0.000192564,0.000192564
35,602.658,1.25505,1.63333,0.76492,0.87478,0.78021,0.90443,0.75968,0.58108,0.601,0.80016,0.000189732,0.000189732,0.000189732
36,619.211,1.2713,1.64341,0.76181,0.86974,0.79326,0.90586,0.75827,0.59911,0.60409,0.80318,0.000186901,0.000186901,0.000186901
