epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,18.17,1.41053,4.46933,0.91332,0.03125,0.6044,0.04825,0.03752,0.92443,3.2209,0.82923,9.45707e-05,9.45707e-05,9.45707e-05
2,35.0295,0.97286,2.92193,0.81516,0.17958,0.33391,0.19247,0.14909,0.76821,2.2357,0.81418,0.000188024,0.000188024,0.000188024
3,51.5077,0.81873,2.13571,0.80624,0.36907,0.44415,0.41059,0.33917,0.65094,1.61542,0.80546,0.00027959,0.00027959,0.00027959
4,67.8951,0.72881,1.67365,0.80115,0.58003,0.54847,0.60714,0.50974,0.58184,1.22521,0.79703,0.000277506,0.000277506,0.000277506
5,84.2033,0.66138,1.33983,0.79815,0.72398,0.63332,0.74055,0.63082,0.55317,0.93557,0.79615,0.000274674,0.000274674,0.000274674
6,100.413,0.61814,1.11699,0.79478,0.83214,0.696,0.81775,0.71324,0.47899,0.76091,0.7913,0.000271843,0.000271843,0.000271843
7,116.722,0.59128,0.96328,0.7934,0.86282,0.74316,0.8566,0.73441,0.51474,0.6731,0.79105,0.000269012,0.000269012,0.000269012
8,132.828,0.57195,0.87628,0.79139,0.88931,0.76794,0.88299,0.76031,0.49045,0.60228,0.78956,0.00026618,0.00026618,0.00026618
9,149.124,0.54944,0.80171,0.78898,0.89683,0.78745,0.90318,0.78774,0.45646,0.55273,0.78605,0.000263349,0.000263349,0.000263349
10,165.124,0.51754,0.75351,0.78707,0.89955,0.80951,0.91651,0.79897,0.44782,0.53564,0.78616,0.000260517,0.000260517,0.000260517
11,181.312,0.5021,0.70074,0.78752,0.91348,0.82813,0.92849,0.80978,0.43664,0.49833,0.78502,0.000257686,0.000257686,0.000257686
12,197.349,0.48449,0.65739,0.78666,0.91283,0.8382,0.93446,0.80188,0.46711,0.48364,0.78519,0.000254855,0.000254855,0.000254855
13,213.911,0.47709,0.63574,0.78414,0.92328,0.84839,0.94273,0.81993,0.43765,0.46345,0.78347,0.000252023,0.000252023,0.000252023
14,230.567,0.47159,0.61329,0.78345,0.92626,0.85312,0.94688,0.83372,0.40936,0.44195,0.78241,0.000249192,0.000249192,0.000249192
15,246.462,0.45648,0.60358,0.78237,0.95345,0.84292,0.95177,0.83504,0.40728,0.43775,0.78151,0.00024636,0.00024636,0.00024636
16,262.59,0.4403,0.57648,0.78272,0.94844,0.86167,0.95745,0.84487,0.3926,0.41095,0.77988,0.000243529,0.000243529,0.000243529
17,278.819,0.44089,0.5603,0.78041,0.94907,0.87276,0.96214,0.8442,0.40708,0.40519,0.78087,0.000240698,0.000240698,0.000240698
18,295.142,0.42594,0.544,0.7811,0.96089,0.87027,0.96243,0.84716,0.39768,0.39814,0.7789,0.000237866,0.000237866,0.000237866
19,16.8594,0.42159,0.54274,0.78017,0.94854,0.86267,0.96041,0.8393,0.39581,0.39895,0.77844,0.000235035,0.000235035,0.000235035
20,33.1757,0.41804,0.52695,0.77931,0.96005,0.88106,0.96802,0.85824,0.37325,0.37583,0.77844,0.000232203,0.000232203,0.000232203
21,49.0048,0.41855,0.50416,0.77948,0.94763,0.90375,0.97023,0.86546,0.36282,0.3661,0.77729,0.000229372,0.000229372,0.000229372
22,64.9159,0.39999,0.49395,0.77934,0.9524,0.89409,0.97049,0.85301,0.40016,0.37529,0.78038,0.000226541,0.000226541,0.000226541
23,80.9837,0.38883,0.48503,0.7792,0.93484,0.90618,0.97078,0.85583,0.39063,0.37421,0.77743,0.000223709,0.000223709,0.000223709
24,96.8859,0.39864,0.47957,0.7787,0.95116,0.91818,0.97554,0.86571,0.36191,0.34375,0.77581,0.000220878,0.000220878,0.000220878
25,112.607,0.39132,0.4707,0.77897,0.96209,0.90198,0.97453,0.84975,0.41042,0.35901,0.77778,0.000218046,0.000218046,0.000218046
26,128.665,0.38196,0.46474,0.77831,0.96563,0.90481,0.97623,0.85934,0.37636,0.34254,0.77634,0.000215215,0.000215215,0.000215215
27,144.823,0.39306,0.45811,0.77821,0.95805,0.91978,0.97752,0.86964,0.35477,0.33194,0.775,0.000212384,0.000212384,0.000212384
28,160.984,0.3803,0.44977,0.77731,0.95455,0.91896,0.97781,0.87324,0.35677,0.32895,0.77686,0.000209552,0.000209552,0.000209552
