epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,14.1235,1.23914,4.00799,1.09077,0.00845,0.92222,0.29487,0.21542,0.90943,3.42563,0.92893,0.000234222,0.000234222,0.000234222
2,27.5671,1.02215,2.24125,1.00765,0.74976,0.75359,0.87081,0.70673,0.72639,1.67629,0.89105,0.000467547,0.000467547,0.000467547
3,40.486,0.90244,1.47837,0.9829,0.82472,0.89136,0.9643,0.81999,0.60946,0.90057,0.84079,0.00069616,0.00069616,0.00069616
4,53.9848,0.79873,1.20347,0.94968,0.86285,0.92102,0.97343,0.83905,0.60092,0.96217,0.84495,0.000692794,0.000692794,0.000692794
5,66.9199,0.71776,1.00346,0.92277,0.94714,0.94997,0.98957,0.87537,0.5244,0.71675,0.83794,0.000685726,0.000685726,0.000685726
6,79.8717,0.69665,0.93419,0.92892,0.97434,0.99267,0.995,0.89854,0.4679,0.61212,0.82717,0.000678657,0.000678657,0.000678657
7,92.5977,0.652,0.84248,0.915,0.97414,1,0.995,0.90143,0.45924,0.58047,0.81797,0.000671588,0.000671588,0.000671588
8,104.805,0.63125,0.81439,0.91134,0.9877,0.99636,0.995,0.9156,0.41954,0.53788,0.81044,0.00066452,0.00066452,0.00066452
9,117.145,0.60061,0.74609,0.90555,0.99419,1,0.995,0.90803,0.43772,0.4971,0.81408,0.000657451,0.000657451,0.000657451
10,129.983,0.58961,0.71923,0.91337,0.99033,0.99545,0.995,0.91781,0.41775,0.48298,0.81595,0.000650383,0.000650383,0.000650383
11,142.541,0.58877,0.729,0.91401,0.98164,0.9923,0.995,0.92397,0.38733,0.50686,0.80448,0.000643314,0.000643314,0.000643314
12,155.088,0.5925,0.69723,0.89207,0.99236,1,0.995,0.92155,0.42024,0.45138,0.80602,0.000636245,0.000636245,0.000636245
13,167.531,0.58156,0.70933,0.90249,0.99297,0.99707,0.995,0.93075,0.39219,0.44245,0.80273,0.000629177,0.000629177,0.000629177
14,179.98,0.58626,0.68579,0.89727,0.98889,1,0.995,0.92714,0.39786,0.46031,0.80917,0.000622108,0.000622108,0.000622108
15,192.451,0.53539,0.65762,0.8888,0.99426,0.9965,0.995,0.93526,0.3639,0.41696,0.79568,0.00061504,0.00061504,0.00061504
16,204.915,0.54111,0.64391,0.89455,0.99091,0.99848,0.995,0.93211,0.36049,0.42562,0.79776,0.000607971,0.000607971,0.000607971
17,217.535,0.52187,0.59012,0.89001,0.9943,1,0.995,0.95162,0.33954,0.39448,0.79216,0.000600902,0.000600902,0.000600902
18,230.065,0.51899,0.60294,0.88451,0.99584,0.99828,0.995,0.93465,0.36957,0.38867,0.80027,0.000593834,0.000593834,0.000593834
19,243.227,0.51937,0.58719,0.87698,0.98791,1,0.995,0.93512,0.36789,0.39027,0.79397,0.000586765,0.000586765,0.000586765
20,257.288,0.52901,0.59007,0.89229,0.99426,0.99927,0.995,0.92269,0.38968,0.39707,0.79732,0.000579697,0.000579697,0.000579697
21,270.89,0.51258,0.57233,0.88275,0.99589,1,0.995,0.94418,0.3436,0.37018,0.7912,0.000572628,0.000572628,0.000572628
22,283.97,0.51301,0.56248,0.89337,0.9924,1,0.995,0.94364,0.34741,0.36244,0.79197,0.000565559,0.000565559,0.000565559
23,296.772,0.51156,0.5522,0.88118,0.99465,0.99711,0.995,0.94811,0.33161,0.37185,0.79163,0.000558491,0.000558491,0.000558491
24,309.42,0.4865,0.54008,0.87609,0.99423,0.9982,0.995,0.95225,0.32171,0.34728,0.78881,0.000551422,0.000551422,0.000551422
25,322.35,0.48993,0.55621,0.88235,0.99372,0.99984,0.995,0.94749,0.34282,0.34875,0.79012,0.000544354,0.000544354,0.000544354
26,335.233,0.47481,0.51198,0.88282,0.99531,1,0.995,0.95093,0.32669,0.32515,0.78818,0.000537285,0.000537285,0.000537285
27,348.048,0.47035,0.54216,0.88038,0.99611,1,0.995,0.94733,0.33319,0.33809,0.7893,0.000530216,0.000530216,0.000530216
28,360.886,0.47396,0.52648,0.87413,0.99389,1,0.995,0.95689,0.31618,0.34623,0.78504,0.000523148,0.000523148,0.000523148
29,373.715,0.47077,0.52127,0.87309,0.99377,1,0.995,0.96163,0.30986,0.31777,0.78185,0.000516079,0.000516079,0.000516079
